framework,control_id,control_ref,control_family,rule_id,name,domain,severity,evidence_mode,evidence_type,path
CIS Controls v8,10,CIS Controls v8 10,CIS Controls v8 10 Malware Defenses,pci-antivirus-enabled,Anti-Malware on Systems in CDE,pci,high,query,cardholder_data_control,policies/pci/pci-antivirus-enabled.yaml
CIS Controls v8,10.1,CIS Controls v8 10.1,CIS Controls v8 10 Malware Defenses,endpoint-edr-installed,EDR Agent Installed on Endpoints,endpoint,critical,cel,endpoint_posture,policies/endpoint/endpoint-edr-installed.yaml
CIS Controls v8,10.1,CIS Controls v8 10.1,CIS Controls v8 10 Malware Defenses,endpoint-kandji-edr-installed,Kandji Devices Missing EDR Agent,endpoint,high,query,endpoint_posture,policies/endpoint/endpoint-kandji-edr-installed.yaml
CIS Controls v8,10.1,CIS Controls v8 10.1,CIS Controls v8 10 Malware Defenses,sentinelone-command-control,SentinelOne Command and Control Activity,sentinelone,critical,cel,endpoint_detection_response,policies/sentinelone/sentinelone-command-control.yaml
CIS Controls v8,10.1,CIS Controls v8 10.1,CIS Controls v8 10 Malware Defenses,sentinelone-malware,SentinelOne Active Malware Threat,sentinelone,critical,cel,endpoint_detection_response,policies/sentinelone/sentinelone-malware.yaml
CIS Controls v8,10.2,CIS Controls v8 10.2,CIS Controls v8 10 Malware Defenses,endpoint-edr-installed,EDR Agent Installed on Endpoints,endpoint,critical,cel,endpoint_posture,policies/endpoint/endpoint-edr-installed.yaml
CIS Controls v8,10.2,CIS Controls v8 10.2,CIS Controls v8 10 Malware Defenses,endpoint-kandji-edr-installed,Kandji Devices Missing EDR Agent,endpoint,high,query,endpoint_posture,policies/endpoint/endpoint-kandji-edr-installed.yaml
CIS Controls v8,10.2,CIS Controls v8 10.2,CIS Controls v8 10 Malware Defenses,sentinelone-command-control,SentinelOne Command and Control Activity,sentinelone,critical,cel,endpoint_detection_response,policies/sentinelone/sentinelone-command-control.yaml
CIS Controls v8,10.2,CIS Controls v8 10.2,CIS Controls v8 10 Malware Defenses,sentinelone-malware,SentinelOne Active Malware Threat,sentinelone,critical,cel,endpoint_detection_response,policies/sentinelone/sentinelone-malware.yaml
CIS Controls v8,10.7,CIS Controls v8 10.7,CIS Controls v8 10 Malware Defenses,endpoint-edr-reporting,EDR Agents Actively Reporting,endpoint,high,cel,endpoint_posture,policies/endpoint/endpoint-edr-reporting.yaml
CIS Controls v8,10.7,CIS Controls v8 10.7,CIS Controls v8 10 Malware Defenses,sentinelone-command-control,SentinelOne Command and Control Activity,sentinelone,critical,cel,endpoint_detection_response,policies/sentinelone/sentinelone-command-control.yaml
CIS Controls v8,10.7,CIS Controls v8 10.7,CIS Controls v8 10 Malware Defenses,sentinelone-malware,SentinelOne Active Malware Threat,sentinelone,critical,cel,endpoint_detection_response,policies/sentinelone/sentinelone-malware.yaml
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,aws-dynamodb-pitr,DynamoDB Point-in-Time Recovery Enabled,aws,high,query,cloud_configuration,policies/aws/aws-dynamodb-pitr.yaml
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,aws-logs-retention-365,CloudWatch Logs Retention 365 Days,aws,medium,query,cloud_configuration,policies/aws/aws-logs-retention-365.yaml
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,aws-rds-backup-enabled,RDS Backup Enabled,aws,medium,cel,cloud_configuration,policies/aws/aws-rds-backup-enabled.yaml
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,aws-rds-deletion-protection,RDS Deletion Protection,aws,medium,cel,cloud_configuration,policies/aws/aws-rds-deletion-protection.yaml
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,aws-s3-bucket-versioning-enabled,S3 Bucket Versioning Enabled,aws,medium,cel,cloud_configuration,policies/aws/aws-s3-bucket-versioning.yaml
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,backup-encryption,Backups Encrypted at Rest,backup,high,query,resilience_control,policies/backup/backup-encryption.yaml
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,backup-offsite,Offsite Backup Storage,backup,high,query,resilience_control,policies/backup/backup-offsite.yaml
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,backup-retention,Backup Retention Policy Compliance,backup,medium,query,resilience_control,policies/backup/backup-retention.yaml
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,backup-rpo-compliance,Recovery Point Objective (RPO) Compliance,backup,high,query,resilience_control,policies/backup/backup-rpo-compliance.yaml
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,backup-testing,Backup Restoration Testing,backup,high,query,resilience_control,policies/backup/backup-testing.yaml
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,cert-expiry-30-days,SSL/TLS Certificates Expiring Within 30 Days,certificate,high,query,cryptographic_control,policies/certificate/cert-expiry-30-days.yaml
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,db-backup-enabled,Database Automated Backups Enabled,database,high,query,data_store_configuration,policies/database/db-backup-enabled.yaml
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,db-multi-az,Production Database Multi-AZ Deployment,database,high,query,data_store_configuration,policies/database/db-multi-az.yaml
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,gcp-sql-backup-enabled,GCP Cloud SQL Backup Enabled,gcp,medium,cel,cloud_configuration,policies/gcp/gcp-sql-backup.yaml
CIS Controls v8,11,CIS Controls v8 11,CIS Controls v8 11 Data Recovery,pci-audit-retention,Audit Log Retention 1 Year,pci,high,query,cardholder_data_control,policies/pci/pci-audit-retention.yaml
CIS Controls v8,12,CIS Controls v8 12,CIS Controls v8 12 Network Infrastructure Management,aws-api-gateway-no-authorization,AWS API Gateway No Authorization,api,high,cel,application_access_control,policies/api/aws-api-gateway-no-auth.yaml
CIS Controls v8,12,CIS Controls v8 12,CIS Controls v8 12 Network Infrastructure Management,aws-bedrock-custom-model-public,AWS Bedrock Custom Model Public Access,ai,critical,cel,ai_governance,policies/ai/aws-bedrock-model-public.yaml
CIS Controls v8,12,CIS Controls v8 12,CIS Controls v8 12 Network Infrastructure Management,aws-codebuild-public-trigger,CodeBuild Project with Public Webhook,aws,high,cel,cloud_configuration,policies/aws/aws-codebuild-public-trigger.yaml
CIS Controls v8,12,CIS Controls v8 12,CIS Controls v8 12 Network Infrastructure Management,aws-ec2-ami-not-public,EC2 AMI Not Public,aws,critical,cel,cloud_configuration,policies/aws/aws-ec2-ami-public.yaml
CIS Controls v8,12,CIS Controls v8 12,CIS Controls v8 12 Network Infrastructure Management,aws-ec2-ebs-snapshot-not-public,EBS Snapshot Not Public,aws,critical,cel,cloud_configuration,policies/aws/aws-ec2-ebs-snapshot-public.yaml
CIS Controls v8,12,CIS Controls v8 12,CIS Controls v8 12 Network Infrastructure Management,aws-ec2-internet-facing-iam,Internet-Facing EC2 with Privileged IAM Role,aws,critical,cel,cloud_configuration,policies/aws/aws-ec2-internet-facing-iam.yaml
CIS Controls v8,12,CIS Controls v8 12,CIS Controls v8 12 Network Infrastructure Management,aws-ec2-public-ip-rdp,EC2 Public IP with RDP Exposed,aws,critical,cel,cloud_configuration,policies/aws/aws-ec2-public-ip-rdp.yaml
